email, i meo
anh/chị, anh chị
viettel, việt theo
wifi, goai phai
internet, in tơ nét
alo, a lô
gb, ghi ga bai
data, đa ta
mb, mê ga bai
reset, ri sét
game, ghêm
zalo, da lô
mimax, mi mắc
seri, sia ri
my, mai
myviettel, mai việt theo
google, gu gồ
ip, ai pi
iphone, ai phôn
4g, bốn gờ
account, ơ cao
vina, vi na
card, cạc
ft, ép ti
combo, com bô
mp, em pi
đắk, đắc
samsung, sam sung
vtv, vê tê vê
admin, át min
mobile, mô bai
online, on lai
vn, vi en
puk, pi iu cây
lte, lờ tê e
otp, ô tê pê
3g, ba gờ
remote, rì mốt
lắk, lắc
load, loát
mocha, mô ca
viettelpay, việt theo pây
syria, si ri a
id, ai đi
menu, mê niu
hdmi, hát đê mờ i
oppo, ốp pô
vnpt, vi en pi ti
sony, sô ni
ipad, ai pát
laptop, láp tóp
mobi, mô bi
qr, qui rờ
messenger, mét sen dơ
vinaphone, vi na phôn
hotline, hót lai
cafe, cà phê
mi10, mi mười
vietinbank, việt tin banh
mytv, mai ti vi
dj, đi dây
chelsea, chen si
nokia, no ki a
mobifone, mô bi phôn
messi, mét xi
israel, ích sơ ren
ure, u rê
vtc, vê tê xê
tc, ti xi
sms, ét em ét
atm, ây ti em
vietcombank, việt com banh
italy, i ta li
pr, pi a
network, nét guốc
led, lét
canada, ca na đa
wi, goai
vp, vi pi
login, lốc in
pro, pờ rô
malaysia, ma lai si a
bidv, bi ai đi vi
mc, em xi
city, xi ti
showbiz, sâu bít
bca, bi ci ây
indonesia, in đô nê si a
new, niu
number, năm bờ
dk, đi cây
ios, ai âu ét
note, nốt
vivo, vi vô
tp-link, ti pi linh
barcelona, ba xê lô na
time, tham
av, ây vi
philippines, phi líp pin
file, phai
homephone, hôm phôn
line, lai
david, đe vít
iraq, i rắc
copy, cóp pi
ct, xi ty
ceo, xi i âu
ck, xi cây
bill, biu
bluetooth, bờ lu tút
iran, i ran
seabank, si banh
shift, síp
block, bờ lốc
agribank, a gờ ri banh
bayern, bây ơn
store, sờ to
